timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684761458333,370,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,2,2,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,370,0,224
1684761458652,201,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,227,2,2,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,201,0,144
1684761458704,261,POST Activity,200,OK,Stress test 1-1,text,true,,331,301,2,2,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,261,0,0
1684761458855,111,POST Activity,200,OK,Stress test 1-2,text,true,,334,304,2,2,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,111,0,0
1684761458966,39,PUT specific Activity,200,OK,Stress test 1-2,text,true,,334,306,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,39,0,0
1684761458966,43,PUT specific Activity,200,OK,Stress test 1-1,text,true,,331,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,43,0,0
1684761459006,43,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,43,0,0
1684761459009,40,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,40,0,0
1684761459051,38,GET specific Activity,200,OK,Stress test 1-2,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,38,0,0
1684761459051,41,GET specific Activity,200,OK,Stress test 1-1,text,true,,352,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/5,40,0,0
1684761459089,38,POST Activity,200,OK,Stress test 1-2,text,true,,342,312,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,38,0,0
1684761459092,40,POST Activity,200,OK,Stress test 1-1,text,true,,330,300,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,40,0,0
1684761458985,214,GET specific Activity,200,OK,Stress test 1-3,text,true,,351,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/8,214,0,130
1684761459127,72,PUT specific Activity,200,OK,Stress test 1-2,text,true,,342,314,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,72,0,0
1684761459132,96,PUT specific Activity,200,OK,Stress test 1-1,text,true,,330,301,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/5,96,0,0
1684761459199,46,POST Activity,200,OK,Stress test 1-3,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,46,0,0
1684761459199,46,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,46,0,0
1684761459228,40,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/5,40,0,0
1684761459245,42,PUT specific Activity,200,OK,Stress test 1-3,text,true,,332,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/8,42,0,0
1684761459246,47,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,47,0,0
1684761459270,39,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/15,39,0,0
1684761459288,41,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/8,41,0,0
1684761459293,44,POST Activity,200,OK,Stress test 1-2,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,44,0,0
1684761459310,48,POST Activity,200,OK,Stress test 1-1,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,48,0,0
1684761459331,38,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/29,38,0,0
1684761459337,57,PUT specific Activity,200,OK,Stress test 1-2,text,true,,333,305,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,57,0,0
1684761459358,39,PUT specific Activity,200,OK,Stress test 1-1,text,true,,333,305,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/15,39,0,0
1684761459369,47,POST Activity,200,OK,Stress test 1-3,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,47,0,0
1684761459394,38,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/30,38,0,0
1684761459397,50,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/15,50,0,0
1684761459447,200,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/13,200,0,0
1684761459416,235,PUT specific Activity,200,OK,Stress test 1-3,text,true,,332,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/29,235,0,0
1684761459434,222,GET specific Activity,200,OK,Stress test 1-2,text,true,,351,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/4,222,0,0
1684761459647,42,POST Activity,200,OK,Stress test 1-1,text,true,,334,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,42,0,0
1684761459651,38,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/29,38,0,0
1684761459656,45,POST Activity,200,OK,Stress test 1-2,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,45,0,0
1684761459689,57,PUT specific Activity,200,OK,Stress test 1-1,text,true,,334,306,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/13,57,0,0
1684761459690,75,GET specific Activity,200,OK,Stress test 1-3,text,true,,352,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/7,75,0,0
1684761459702,67,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/4,67,0,0
1684761459746,47,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/13,47,0,0
1684761459765,41,POST Activity,200,OK,Stress test 1-3,text,true,,340,310,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,41,0,0
1684761459769,38,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/4,38,0,0
1684761459794,43,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/23,43,0,0
1684761459808,45,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/12,45,0,0
1684761459806,50,PUT specific Activity,200,OK,Stress test 1-3,text,true,,340,311,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/7,50,0,0
1684761459837,41,POST Activity,200,OK,Stress test 1-1,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,41,0,0
1684761459856,39,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/7,39,0,0
1684761459854,48,POST Activity,200,OK,Stress test 1-2,text,true,,332,302,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,48,0,0
1684761459879,50,PUT specific Activity,200,OK,Stress test 1-1,text,true,,332,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/23,50,0,0
1684761459897,47,GET specific Activity,200,OK,Stress test 1-3,text,true,,351,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/4,47,0,0
1684761459902,63,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/12,63,0,0
1684761459929,38,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/23,38,0,0
1684761459944,39,POST Activity,200,OK,Stress test 1-3,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,39,0,0
1684761459965,40,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/12,40,0,0
1684761459969,47,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,47,0,0
1684761459983,43,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/4,43,0,0
1684761460006,39,GET specific Activity,200,OK,Stress test 1-2,text,true,,352,226,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/3,39,0,0
1684761460017,49,POST Activity,200,OK,Stress test 1-1,text,true,,331,301,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,49,0,0
1684761460027,50,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/4,50,0,0
1684761460046,37,POST Activity,200,OK,Stress test 1-2,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,37,0,0
1684761460083,40,PUT specific Activity,200,OK,Stress test 1-2,text,true,,333,304,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/3,40,0,0
1684761460066,57,PUT specific Activity,200,OK,Stress test 1-1,text,true,,331,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,57,0,0
1684761460078,68,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/25,68,0,0
1684761460123,42,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,248,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/3,42,0,0
1684761460123,42,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/11,42,0,0
1684761460146,59,POST Activity,200,OK,Stress test 1-3,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,59,0,0
1684761460167,40,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/23,40,0,0
1684761460167,45,GET specific Activity,200,OK,Stress test 1-1,text,true,,353,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/29,45,0,0
1684761460205,40,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,305,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/25,40,0,0
1684761460208,38,POST Activity,200,OK,Stress test 1-2,text,true,,331,301,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,38,0,0
1684761460212,41,POST Activity,200,OK,Stress test 1-1,text,true,,342,312,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,41,0,0
1684761460246,39,PUT specific Activity,200,OK,Stress test 1-2,text,true,,331,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/23,39,0,0
1684761460245,40,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/25,40,0,0
1684761460253,40,PUT specific Activity,200,OK,Stress test 1-1,text,true,,342,314,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/29,40,0,0
1684761460286,39,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/25,39,0,0
1684761460285,41,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/23,41,0,0
1684761460293,50,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,249,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/29,50,0,0
1684761460351,41,POST Activity,200,OK,Stress test 1-3,text,true,,333,303,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities,41,0,0
1684761460353,40,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,227,3,3,https://udacitydevops3-appservice-app.azurewebsites.net/api/Activities/21,40,0,0
